"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","Chi0n","Chi1n","Chi2n","Chi3n","Chi4n","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","CalculatedAbsorbance"
"CCN1c2ccccc2O/C1=C/C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1","KKFSTMHKQKXIPU-UHFFFAOYSA-N",3,0,3,0.16,16.78539137214513,9.989643673903291,6.600150512910086,4.827720566875514,3.4744032706525054,4,2,6,401.5550000000001,14,1477.2599940673542,19.63137023197967,16,8,655
"CCN1c2ccccc2O/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2s1","LPLCWEKDGKZACI-UHFFFAOYSA-N",3,0,3,0.17391304347826086,15.630690833765877,9.322977007236624,6.215250333450335,4.6054983446532916,3.3461032108325885,4,2,5,375.51700000000005,13,900.0075318278548,18.52578052432901,14,6,724
"CCN1c2ccccc2S/C1=C\c1cc[n+](CC)c2ccccc12","SFTZBFQWPQDHFP-UHFFFAOYSA-N",3,0,2,0.19047619047619047,14.067742004922762,8.487995943364757,5.870864937356993,4.531024269774906,3.3296906582900627,3,2,3,333.48,12,247.35545004339903,13.008864602564545,11,2,605
"CCN1c2ccccc2S/C1=C\C=C\c1[n+](CC)c2ccccc2o1","CGMUVVDKGKQWHC-UHFFFAOYSA-N",3,0,3,0.19047619047619047,14.475990295386625,8.656310340569958,5.830350153990585,4.38327612243107,3.218954592243988,4,2,4,349.47900000000004,12,585.696915845642,15.910653648031015,13,4,472
"CCN1c2ccccc2S/C1=C/c1[n+](CC)c2ccccc2cc1","UJCNDPYFYMAVSQ-UHFFFAOYSA-N",3,0,2,0.19047619047619047,14.067742004922762,8.492078985962387,5.857894478517461,4.513298210493284,3.370442323911275,3,2,3,333.47999999999996,12,142.32485319954586,13.83038591072839,12,2,505
"CCN1c2ccccc2S/C1=C/C=C/c1[n+](CC)c2ccccc2cc1","XTSHHMSLNDHACR-UHFFFAOYSA-N",3,0,2,0.17391304347826086,15.222442543302014,9.158745652629054,6.239340334283264,4.747727582026266,3.5090610714366592,3,2,4,359.51800000000003,13,382.32029990001473,16.149879936652486,14,4,487
"CCN1c2ccccc2S/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2o1","LPLCWEKDGKZACI-UHFFFAOYSA-N",3,0,3,0.17391304347826086,15.630690833765877,9.322977007236624,6.215250333450335,4.6054983446532916,3.3461032108325885,4,2,5,375.5170000000001,13,987.9028083849969,18.456641560478552,15,6,560
"CCN1c2ccccc2S/C1=C\C=C\C=C\c1cc[n+](CC)c2ccccc12","LDIURJODNUMFCD-UHFFFAOYSA-N",3,0,2,0.16,16.377143081681268,9.82132927669809,6.6372109725825466,4.988854536401537,3.593993693062513,3,2,5,385.5560000000001,14,808.7723924772041,17.618863092218433,15,6,618
"CCN1c2ccccc2S/C1=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1","UMTQICYFVVKJFV-UHFFFAOYSA-N",3,0,3,0.16,16.78539137214513,9.989643673903291,6.600150512910086,4.827720566875514,3.4744032706525054,4,2,6,417.62300000000016,14,1598.6593638101147,20.444755648343808,17,8,627
"CCN1c2ccccc2S/C1=C/C=C/c1cc[n+](CC)c2ccccc12","DJAQPUXEDANWNL-UHFFFAOYSA-N",3,0,2,0.17391304347826086,15.222442543302014,9.154662610031423,6.2523107931227955,4.766632314179317,3.4668450744739125,3,2,4,359.5180000000001,13,440.5535253796078,16.55748826274878,13,4,716
"CCN1c2ccccc2S/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2s1","FYXWDSGGZAMYFZ-UHFFFAOYSA-N",3,0,3,0.17391304347826086,15.630690833765877,9.322977007236624,6.215250333450335,4.6054983446532916,3.3461032108325885,4,2,5,391.5850000000001,13,765.5898331873826,18.664089163835513,15,6,584
"CCN1c2ccccc2S/C1=C\C=C\c1[n+](CC)c2ccccc2s1","JGLWGLKNDHZFAP-UHFFFAOYSA-N",3,0,3,0.19047619047619047,14.475990295386625,8.656310340569958,5.830350153990585,4.38327612243107,3.218954592243988,4,2,4,365.547,12,338.3403723387555,15.800456890372882,13,4,625
"CCN1c2ccccc2S/C1=C\C=C\c1cc[n+](CC)c2ccccc12","DJAQPUXEDANWNL-UHFFFAOYSA-N",3,0,2,0.17391304347826086,15.222442543302014,9.154662610031423,6.2523107931227955,4.766632314179317,3.4668450744739125,3,2,4,359.5180000000001,13,478.77546807146376,16.4102937538699,13,4,519
"CCN1c2ccccc2S/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2o1","LPLCWEKDGKZACI-UHFFFAOYSA-N",3,0,3,0.17391304347826086,15.630690833765877,9.322977007236624,6.215250333450335,4.6054983446532916,3.3461032108325885,4,2,5,375.5170000000001,13,1539.0469937251492,18.342565339555662,15,6,565
"CCN1c2ccccc2S/C1=C\C=C/c1[n+](CC)c2ccccc2cc1","XTSHHMSLNDHACR-UHFFFAOYSA-N",3,0,2,0.17391304347826086,15.222442543302014,9.158745652629054,6.239340334283264,4.747727582026266,3.5090610714366592,3,2,4,359.51800000000003,13,192.27607184382805,14.710703696239499,14,4,605
"CCN1c2ccccc2S/C1=C\C=C/C=C/c1[n+](CC)c2ccccc2cc1","ICQLMXQDTPECJU-UHFFFAOYSA-N",3,0,2,0.16,16.377143081681265,9.82541231929572,6.624240513743015,4.969949804248488,3.63620969002526,3,2,5,385.5560000000001,14,334.1409868837845,17.738234417345204,16,6,536
"CCN1c2ccccc2S/C1=C\C=C/C=C/C=C/c1[n+](CC)c2ccccc2o1","KKFSTMHKQKXIPU-UHFFFAOYSA-N",3,0,3,0.16,16.78539137214513,9.989643673903291,6.600150512910086,4.827720566875514,3.4744032706525054,4,2,6,401.5550000000002,14,596.885121283226,18.349784567624898,17,8,590
"CCN1c2ccccc2S/C1=C\C=C\C=C\C=C\c1cc[n+](CC)c2ccccc12","TWHSTEAIMSNAOL-UHFFFAOYSA-N",3,0,2,0.14814814814814814,17.531843620060517,10.487995943364757,7.0221111520422985,5.211076758623759,3.72229375288243,3,2,6,411.59400000000016,15,2041.6344574702994,20.471132633379305,17,8,681
"CCN1c2ccccc2S/C1=C\C=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1","KBBBKHYFINZFTO-UHFFFAOYSA-N",3,0,3,0.14814814814814814,17.94009191052438,10.656310340569958,6.985050692369837,5.049942789097736,3.602703330472422,4,2,7,443.6610000000002,15,3670.176886230575,23.184662360513858,19,10,631
"CCN1c2ccccc2S/C1=C\C=C/C=C/c1cc[n+](CC)c2ccccc12","LDIURJODNUMFCD-UHFFFAOYSA-N",3,0,2,0.16,16.377143081681268,9.82132927669809,6.6372109725825466,4.988854536401537,3.593993693062513,3,2,5,385.5560000000001,14,371.11493011918037,18.06340993928739,15,6,801
"CCN1c2ccccc2S/C1=C\C=C/C=C/C=C/c1[n+](CC)c2ccccc2s1","UMTQICYFVVKJFV-UHFFFAOYSA-N",3,0,3,0.16,16.78539137214513,9.989643673903291,6.600150512910086,4.827720566875514,3.4744032706525054,4,2,6,417.62300000000016,14,415.6517676307189,18.502686147113344,17,8,614
"CCN1c2ccccc2S/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2s1","FYXWDSGGZAMYFZ-UHFFFAOYSA-N",3,0,3,0.17391304347826086,15.630690833765877,9.322977007236624,6.215250333450335,4.6054983446532916,3.3461032108325885,4,2,5,391.5850000000001,13,1412.9807609780253,18.463290997300426,15,6,722
